Sample in Buffer,Sample in Window,TRIGGER,design_1_wrapper_inst/design_1_i/system_ila_2/inst/SLOT_0_JESD204_TX_BUS_txcharisk_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_2/inst/SLOT_0_JESD204_TX_BUS_txdata_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
801,801,0,0,22daf024
802,802,0,0,a6cacedc
803,803,0,0,f180d7bf
804,804,0,0,d40c2602
805,805,0,0,12fef82a
806,806,0,0,68196c04
807,807,0,0,24f37157
808,808,0,0,d2fed82a
809,809,0,0,6816ec06
810,810,0,0,263f7175
811,811,0,0,f20ed782
812,812,0,0,ead42c26
813,813,0,0,041d7efa
814,814,0,0,55a4194e
815,815,0,0,0ad4fcd9
816,816,0,0,84103ef8
817,817,0,0,574a1963
818,818,0,0,258cf1bd
819,819,0,0,c6f2de28
820,820,0,0,7ae7942e
821,821,0,0,4cea1d53
822,822,0,0,f60da97d
823,823,0,0,bae8342c
824,824,0,0,4e299d73
825,825,0,0,d431a6f7
826,826,0,0,18dafba4
827,827,0,0,eec952dc
828,828,0,0,51b967b4
829,829,0,0,5f70e597
830,830,0,0,8ec4c221
831,831,0,0,d35a279b
832,832,0,0,72c6e8de
833,833,0,0,e37e2f95
834,834,0,0,bc154a06
835,835,0,0,360d897d
836,836,0,0,bae7b42e
837,837,0,0,4ce59d51
838,838,0,0,f4c1a95f
839,839,0,0,9a183b84
840,840,0,0,cceb5d53
841,841,0,0,f613a978
842,842,0,0,bf703568
843,843,0,0,0ec98223
844,844,0,0,d1b427b6
845,845,0,0,5d9ee5ba
846,846,0,0,a19ccf45
847,847,0,0,91b8c74b
848,848,0,0,5f6b6593
849,849,0,0,8a18c37b
850,850,0,0,8cea3d53
851,851,0,0,f602297f
852,852,0,0,b824340e
853,853,0,0,6ed992db
854,854,0,0,56f366d7
855,855,0,0,3af8f42b
856,856,0,0,49639c10
857,857,0,0,b1b9b74b
858,858,0,0,df7da595
859,859,0,0,8c2ac20c
860,860,0,0,fc022aff
861,861,0,0,3024080e
862,862,0,0,ced3a2d8
863,863,0,0,d573a6e8
864,864,0,0,06f2fe28
865,865,0,0,7ae8142c
866,866,0,0,4e261d71
867,867,0,0,d6fda6d5
868,868,0,0,382af40c
869,869,0,0,6c0b92fc
870,870,0,0,739b683b
871,871,0,0,f8da2b5b
872,872,0,0,6ec412de
873,873,0,0,53576799
874,874,0,0,7028e8f3
875,875,0,0,cc2622f1
876,876,0,0,fef7aad6
877,877,0,0,1ba00430
878,878,0,0,d38158c0
879,879,0,0,7c1aea04
880,880,0,0,34ce095d
881,881,0,0,98dbbba4
882,882,0,0,eed752d9
883,883,0,0,542166f0
884,884,0,0,1f90fac7
885,885,0,0,8b414360
886,886,0,0,961e3985
887,887,0,0,3d937547
888,888,0,0,237f8f6a
889,889,0,0,bc0eca02
890,890,0,0,32d18827
891,891,0,0,e557aee6
892,892,0,0,c8215cf0
893,893,0,0,af9bb2c4
894,894,0,0,48d4e359
895,895,0,0,ac15b2f9
896,896,0,0,760ce97d
897,897,0,0,baf63429
898,898,0,0,4bb19c37
899,899,0,0,94d1b9a7
900,900,0,0,1d5f7ae5
901,901,0,0,ab8d4cc2
902,902,0,0,1eecfa2d
903,903,0,0,9f714568
904,904,0,0,8edf4225
905,905,0,0,d78626c1
906,906,0,0,2d76f216
907,907,0,0,67baee34
908,908,0,0,e74f519d
909,909,0,0,e4c151a0
910,910,0,0,da195b84
911,911,0,0,ccfadd54
912,912,0,0,f147a81e
913,913,0,0,df602590
914,914,0,0,898ec342
915,915,0,0,b6d23627
916,916,0,0,b561b6ef
917,917,0,0,819dbf45
