Sample in Buffer,Sample in Window,TRIGGER,design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxcharisk_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxdata_1[31:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxdisperr_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxnotintable_1[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,HEX,HEX,HEX
473,473,0,0000,440c1e02,0,0
474,474,0,0000,52f59829,0,0
475,475,0,0000,6b80ec3f,0,0
476,476,0,0000,1c077a01,0,0
477,477,0,0000,b16d4812,0,0
478,478,0,0000,d36da76d,0,0
479,479,0,0000,7b6aeb6c,0,0
480,480,0,0000,5a0e1b7d,0,0
481,481,0,0000,cadcdc25,0,0
482,482,0,0000,87bfbeca,0,0
483,483,0,0000,66061181,0,0
484,484,0,0000,f97f5415,0,0
485,485,0,0000,74001600,0,0
486,486,0,0000,90063801,0,0
487,487,0,0000,41736017,0,0
488,488,0,0000,16f9862b,0,0
489,489,0,0000,39757416,0,0
490,490,0,0000,7787963e,0,0
491,491,0,0000,ad6a3213,0,0
492,492,0,0000,6200ef7f,0,0
493,493,0,0000,a8074c01,0,0
494,494,0,0000,2164f011,0,0
495,495,0,0000,90d2c758,0,0
496,496,0,0000,4d6362ef,0,0
497,497,0,0000,e1b9af4b,0,0
498,498,0,0000,9f794594,0,0
499,499,0,0000,8d7f4215,0,0
500,500,0,0000,e4062e01,0,0
501,501,0,0000,d1755816,0,0
502,502,0,0000,578ae63c,0,0
503,503,0,0000,2f8cf23d,0,0
504,504,0,0000,4ef2e228,0,0
505,505,0,0000,daeda42d,0,0
506,506,0,0000,cf6add6c,0,0
507,507,0,0000,ca07a37e,0,0
508,508,0,0000,8963bc10,0,0
509,509,0,0000,b1b63749,0,0
510,510,0,0000,ddb1a5b7,0,0
511,511,0,0000,acdacda4,0,0
512,512,0,0000,7ec0eadf,0,0
513,513,0,0000,12060781,0,0
514,514,0,0000,69796c14,0,0
515,515,0,0000,35737617,0,0
516,516,0,0000,86ffbe2a,0,0
517,517,0,0000,78061401,0,0
518,518,0,0000,617e1015,0,0
519,519,0,0000,941f4605,0,0
520,520,0,0000,15877941,0,0
521,521,0,0000,056d7e12,0,0
522,522,0,0000,43641f6e,0,0
523,523,0,0000,38d58b59,0,0
524,524,0,0000,6c0792fe,0,0
