Sample in Buffer,Sample in Window,TRIGGER,sysref,tx_ready,tx_data[127:0],rx_sync_0_OBUF,tx_sync_0_IBUF,rx_valid_1,locked,rst_204,rx_valid,rx_data[127:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
197,197,0,0,1,c692514ec692514fc6925150c6925151,0,1,0,1,0,0,00000000000000000000000000000000
198,198,0,0,1,c692514fc6925150c6925151c6925152,0,1,0,1,0,0,00000000000000000000000000000000
199,199,0,0,1,c6925150c6925151c6925152c6925153,0,1,0,1,0,0,00000000000000000000000000000000
200,200,0,0,1,c6925151c6925152c6925153c6925154,0,1,0,1,0,0,00000000000000000000000000000000
201,201,0,0,1,c6925152c6925153c6925154c6925155,0,1,0,1,0,0,00000000000000000000000000000000
202,202,0,0,1,c6925153c6925154c6925155c6925156,0,1,0,1,0,0,00000000000000000000000000000000
203,203,0,0,1,c6925154c6925155c6925156c6925157,0,1,0,1,0,0,00000000000000000000000000000000
204,204,0,0,1,c6925155c6925156c6925157c6925158,0,1,0,1,0,0,00000000000000000000000000000000
205,205,0,0,1,c6925156c6925157c6925158c6925159,0,1,0,1,0,0,00000000000000000000000000000000
206,206,0,0,1,c6925157c6925158c6925159c692515a,0,1,0,1,0,0,00000000000000000000000000000000
207,207,0,0,1,c6925158c6925159c692515ac692515b,0,1,0,1,0,0,00000000000000000000000000000000
208,208,0,0,1,c6925159c692515ac692515bc692515c,0,1,0,1,0,0,00000000000000000000000000000000
209,209,0,0,1,c692515ac692515bc692515cc692515d,0,1,0,1,0,0,00000000000000000000000000000000
210,210,0,0,1,c692515bc692515cc692515dc692515e,0,1,0,1,0,0,00000000000000000000000000000000
211,211,0,0,1,c692515cc692515dc692515ec692515f,0,1,0,1,0,0,00000000000000000000000000000000
212,212,0,0,1,c692515dc692515ec692515fc6925160,0,1,0,1,0,0,00000000000000000000000000000000
213,213,0,0,1,c692515ec692515fc6925160c6925161,0,1,0,1,0,0,00000000000000000000000000000000
214,214,0,0,1,c692515fc6925160c6925161c6925162,0,1,0,1,0,0,00000000000000000000000000000000
215,215,0,0,1,c6925160c6925161c6925162c6925163,0,1,0,1,0,0,00000000000000000000000000000000
216,216,0,0,1,c6925161c6925162c6925163c6925164,0,1,0,1,0,0,00000000000000000000000000000000
217,217,0,0,1,c6925162c6925163c6925164c6925165,0,1,0,1,0,0,00000000000000000000000000000000
218,218,0,0,1,c6925163c6925164c6925165c6925166,0,1,0,1,0,0,00000000000000000000000000000000
219,219,0,0,1,c6925164c6925165c6925166c6925167,0,1,0,1,0,0,00000000000000000000000000000000
220,220,0,0,1,c6925165c6925166c6925167c6925168,0,1,0,1,0,0,00000000000000000000000000000000
221,221,0,0,1,c6925166c6925167c6925168c6925169,0,1,0,1,0,0,00000000000000000000000000000000
222,222,0,0,1,c6925167c6925168c6925169c692516a,0,1,0,1,0,0,00000000000000000000000000000000
223,223,0,0,1,c6925168c6925169c692516ac692516b,0,1,0,1,0,0,00000000000000000000000000000000
224,224,0,0,1,c6925169c692516ac692516bc692516c,0,1,0,1,0,0,00000000000000000000000000000000
225,225,0,0,1,c692516ac692516bc692516cc692516d,0,1,0,1,0,0,00000000000000000000000000000000
226,226,0,0,1,c692516bc692516cc692516dc692516e,0,1,0,1,0,0,00000000000000000000000000000000
227,227,0,0,1,c692516cc692516dc692516ec692516f,0,1,0,1,0,0,00000000000000000000000000000000
228,228,0,1,1,c692516dc692516ec692516fc6925170,0,1,0,1,0,0,00000000000000000000000000000000
229,229,0,1,1,c692516ec692516fc6925170c6925171,0,1,0,1,0,0,00000000000000000000000000000000
230,230,0,1,1,c692516fc6925170c6925171c6925172,0,1,0,1,0,0,00000000000000000000000000000000
231,231,0,1,1,c6925170c6925171c6925172c6925173,0,1,0,1,0,0,00000000000000000000000000000000
232,232,0,1,1,c6925171c6925172c6925173c6925174,0,1,0,1,0,0,00000000000000000000000000000000
233,233,0,1,1,c6925172c6925173c6925174c6925175,0,1,0,1,0,0,00000000000000000000000000000000
234,234,0,1,1,c6925173c6925174c6925175c6925176,0,1,0,1,0,0,00000000000000000000000000000000
